act_pos0,act_pos1,act_pos2,act_torq0,act_torq1,act_torq2
-3,0,1,1,1,1
-3,0,1,-36,-36,-36
-3,0,1,-60,-60,-60
-3,0,1,21,21,21
-3,0,1,32,32,32
-3,0,1,29,29,29
-3,0,1,41,41,41
-3,0,1,-24,-24,-24
-3,0,1,106,106,106
-3,0,1,30,30,30
-3,0,1,-61,-61,-61
-3,0,1,-2,-2,-2
-4,0,1,55,55,55
-3,0,1,8,8,8
-3,0,1,-124,-124,-124
-3,0,1,47,47,47
-3,0,1,-55,-55,-55
-3,0,0,-16,-16,-16
-3,0,1,90,90,90
-3,0,1,21,21,21
-3,0,1,25,25,25
-3,0,1,17,17,17
-3,0,1,4,4,4
-3,0,1,-78,-78,-78
-4,0,1,90,90,90
-3,0,1,42,42,42
-3,0,1,18,18,18
-3,0,1,142,142,142
-3,0,1,-7,-7,-7
-3,0,1,10,10,10
-4,0,1,29,29,29
-3,0,1,-5,-5,-5
-3,0,1,32,32,32
-3,0,1,29,29,29
-3,0,1,39,39,39
-3,0,1,-26,-26,-26
-3,0,1,36,36,36
-3,0,1,19,19,19
-3,0,1,65,65,65
-2,0,1,-12,-12,-12
-3,0,1,-58,-58,-58
-3,0,1,-92,-92,-92
-2,0,1,54,54,54
-3,0,1,57,57,57
-3,0,1,42,42,42
-3,0,1,3,3,3
-3,0,1,6,6,6
-3,0,1,-35,-35,-35
-3,0,1,0,0,0
-3,0,1,17,17,17
-3,0,1,-13,-13,-13
-3,0,1,-66,-66,-66
-3,0,1,68,68,68
-3,0,1,-53,-53,-53
-3,0,1,66,66,66
-3,0,1,157,157,157
-3,0,1,-8,-8,-8
-3,0,1,28,28,28
-3,0,1,8,8,8
-3,0,1,53,53,53
-3,0,1,29,29,29
-3,0,1,9,9,9
-4,0,1,-23,-23,-23
-3,0,1,56,56,56
-3,0,1,-55,-55,-55
-3,0,1,-30,-30,-30
-3,0,1,-2,-2,-2
-3,0,1,-5,-5,-5
-3,0,1,65,65,65
-3,0,1,-33,-33,-33
-3,0,1,0,0,0
-3,0,1,28,28,28
-3,0,1,36,36,36
-3,0,1,26,26,26
-3,0,1,32,32,32
-3,0,1,19,19,19
-3,0,1,2,2,2
-3,0,1,-22,-22,-22
-3,0,1,-103,-103,-103
-3,0,1,-46,-46,-46
-3,0,1,35,35,35
-3,0,1,35,35,35
-3,0,1,40,40,40
-3,0,1,-39,-39,-39
-3,0,1,-78,-78,-78
-3,0,1,-5,-5,-5
-4,0,1,-37,-37,-37
-3,0,1,14,14,14
-3,0,1,1,1,1
-3,0,1,-41,-41,-41
-3,0,1,5,5,5
-3,0,1,-14,-14,-14
-3,0,1,-26,-26,-26
-3,0,1,88,88,88
-3,0,1,32,32,32
-3,0,1,-41,-41,-41
-3,0,1,64,64,64
-3,0,1,57,57,57
-3,0,1,6,6,6
-4,0,1,-78,-78,-78
-3,0,1,-74,-74,-74
-3,0,1,93,93,93
-3,0,1,18,18,18
-3,0,1,-11,-11,-11
-3,0,1,11,11,11
-3,0,1,15,15,15
-3,0,1,-32,-32,-32
-3,0,1,44,44,44
-3,0,1,14,14,14
-3,0,1,17,17,17
-3,0,1,28,28,28
-3,0,1,33,33,33
-3,0,1,26,26,26
-3,0,1,-17,-17,-17
-3,0,1,-33,-33,-33
-3,0,1,0,0,0
-3,0,1,16,16,16
-3,0,1,-36,-36,-36
-3,0,1,1,1,1
-3,0,1,-2,-2,-2
-3,0,1,103,103,103
-3,0,1,72,72,72
-3,0,1,85,85,85
-3,0,1,11,11,11
-3,0,1,5,5,5
-3,0,1,51,51,51
-3,0,1,-66,-66,-66
-3,0,1,-47,-47,-47
-3,0,1,78,78,78
-3,0,1,9,9,9
-3,0,1,98,98,98
-3,0,1,4,4,4
-3,0,1,-42,-42,-42
-3,0,2,0,0,0
-3,0,1,-46,-46,-46
-3,0,1,9,9,9
-3,0,1,-12,-12,-12
-3,0,1,4,4,4
-3,0,1,22,22,22
-3,0,1,-26,-26,-26
-3,0,1,-12,-12,-12
-2,0,1,-153,-153,-153
-3,0,1,14,14,14
-3,0,1,59,59,59
-3,0,1,-6,-6,-6
-3,0,1,84,84,84
-3,0,1,33,33,33
-3,0,2,70,70,70
-3,0,2,-55,-55,-55
-3,0,1,-8,-8,-8
-3,0,1,-23,-23,-23
-3,0,0,-9,-9,-9
-3,0,1,-68,-68,-68
-3,0,1,-2,-2,-2
-3,0,1,0,0,0
-3,0,1,53,53,53
-3,0,1,56,56,56
-3,0,1,-6,-6,-6
-3,0,1,32,32,32
-3,0,1,4,4,4
-3,0,1,15,15,15
-3,0,1,-11,-11,-11
-3,0,1,24,24,24
-3,0,1,-54,-54,-54
-3,0,1,85,85,85
-3,0,1,-4,-4,-4
-3,0,1,86,86,86
-3,0,2,20,20,20
-3,0,1,-46,-46,-46
-3,0,1,-23,-23,-23
-3,0,1,-41,-41,-41
-3,0,1,14,14,14
-3,0,1,9,9,9
-3,0,1,-46,-46,-46
-3,0,1,51,51,51
-3,0,1,-40,-40,-40
-3,0,1,-7,-7,-7
-3,0,1,77,77,77
-3,0,1,49,49,49
-3,0,1,-57,-57,-57
-3,0,2,38,38,38
-4,0,1,22,22,22
-3,0,1,0,0,0
